tribunal,subsecao_nome,subsecao_sede_nome,subsecao_ibge,varas,municipio_nome,municipio_ibge,eh_sede,total_municipios_subsecao,municipios_abrangidos,lon,lat
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Abreu e Lima,2600054,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-34.8984,-7.90072
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Araçoiaba,2601052,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-35.0809,-7.78391
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Bom Jardim,2602209,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-35.5784,-7.79695
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Buenos Aires,2602704,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-35.3182,-7.72449
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Camaragibe,2603454,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-34.9782,-8.02351
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Carpina,2604007,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-35.2514,-7.84566
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Chã de Alegria,2604403,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-35.204,-8.00679
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Feira Nova,2605400,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-35.3801,-7.94704
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Fernando de Noronha,2605459,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-32.4107,-3.8396
TRF5/JFPE,Recife (Sede),Recife,2611606,"1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª.",Glória do Goitá,2606101,False,29,Abreu e Lima; Araçoiaba; Bom Jardim; Buenos Aires; Camaragibe; Carpina; Chã de Alegria; Feira Nova; Fernando de Noronha; Glória do Goitá; Igarassu; Ilha de Itamaracá; Itapissuma; Jaboatão dos Guararapes; João Alfredo; Lagoa do Carro; Lagoa de Itaenga; Limoeiro; Machados; Moreno; Nazaré da Mata; Olinda; Paudalho; Paulista; Pombos; Recife; São Lourenço da Mata; Tracunhaém; Vitória de Santo Antão,-35.2904,-8.00568
