municipio_ibge,municipio_nome,lon,lat,tjpe_comarca_nome,tjpe_comarca_ibge,tjpe_eh_sede,tjpe_tipo_vinculo,tjpe_total_municipios_comarca,tjpe_comarca_abrangencia,jfpe_subsecoes,jfpe_varas,jfpe_eh_sede
2600054,Abreu e Lima,-34.8984,-7.90072,Abreu e Lima,2600054,True,Sede da Comarca,1,Abreu e Lima,Recife (Sede); Jaboatão dos Guararapes,"Recife (Sede): 1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª. | Jaboatão dos Guararapes: 29ª e 30ª",False
2600104,Afogados da Ingazeira,-37.631,-7.74312,Afogados da Ingazeira,2600104,True,Sede da Comarca,2,Afogados da Ingazeira; Iguaracy,Serra Talhada,Serra Talhada: 18ª e 38ª,False
2600203,Afrânio,-41.0095,-8.51136,Afrânio,2600203,True,Sede da Comarca,2,Afrânio; Dormentes,Petrolina,Petrolina: 8ª e 17ª,False
2600302,Agrestina,-35.9447,-8.45966,Agrestina,2600302,True,Sede da Comarca,1,Agrestina,Caruaru,"Caruaru: 16ª, 24ª, 31ª e 37ª",False
2600609,Alagoinha,-36.7788,-8.4665,Alagoinha,2600609,True,Sede da Comarca,1,Alagoinha,Arcoverde,Arcoverde: 28ª,False
2600708,Aliança,-35.2227,-7.60398,Aliança,2600708,True,Sede da Comarca,1,Aliança,Goiana,Goiana: 25ª,False
2600807,Altinho,-36.0644,-8.48482,Altinho,2600807,True,Sede da Comarca,2,Altinho; Ibirajuba,Caruaru,"Caruaru: 16ª, 24ª, 31ª e 37ª",False
2600906,Amaraji,-35.4501,-8.37691,Amaraji,2600906,True,Sede da Comarca,2,Amaraji; Primavera,Cabo de Santo Agostinho,Cabo de Santo Agostinho: 34ª e 35,False
2601003,Angelim,-36.2902,-8.88429,Angelim,2601003,True,Sede da Comarca,1,Angelim,Garanhuns,Garanhuns: 23ª e 32ª,False
2601102,Araripina,-40.494,-7.57073,Araripina,2601102,True,Sede da Comarca,1,Araripina,Ouricuri,Ouricuri: 27ª,False
2601052,Araçoiaba,-35.0809,-7.78391,Igarassu,2606804,False,Termo Judiciário (Município Abrangido),2,Araçoiaba; Igarassu,Recife (Sede); Jaboatão dos Guararapes,"Recife (Sede): 1ª, 2ª, 3.ª, 4.ª, 5ª, 6.ª, 7ª, 9ª, 10ª, 11ª, 12ª, 13ª, 14ª, 15ª, 19ª, 21ª, 22ª, 33ª e 36ª. | Jaboatão dos Guararapes: 29ª e 30ª",False
2601201,Arcoverde,-37.0577,-8.41519,Arcoverde,2601201,True,Sede da Comarca,1,Arcoverde,Arcoverde,Arcoverde: 28ª,True
2601300,Barra de Guabiraba,-35.6585,-8.42075,Bonito,2602308,False,Termo Judiciário (Município Abrangido),2,Barra de Guabiraba; Bonito,Caruaru,"Caruaru: 16ª, 24ª, 31ª e 37ª",False
2601409,Barreiros,-35.1832,-8.81605,Barreiros,2601409,True,Sede da Comarca,1,Barreiros,Palmares,Palmares: 26ª,False
2601706,Belo Jardim,-36.4258,-8.3313,Belo Jardim,2601706,True,Sede da Comarca,1,Belo Jardim,Caruaru,"Caruaru: 16ª, 24ª, 31ª e 37ª",False
